ID,NAME,ACCOUNT_ID,AMOUNT,CLOSE_DATE,STAGE_NAME,PROBABILITY,FORECAST_CATEGORY_NAME,LEAD_SOURCE,TYPE,DESCRIPTION,NEXT_STEP,CREATED_DATE,LAST_MODIFIED_DATE,CURRENCY_ISO_CODE,IS_CLOSED,IS_WON
006793723830535548,Hamburg Digital - Data Integration,001215400344428713,823443,2024-10-23,Closed Won,100,Closed,Partner Referral,New Customer,Opportunity to provide cloud solutions to Hamburg Digital to address their data challenges requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-06-26T07:21:05.735541,2024-07-15T07:21:05.735541,EUR,true,true
006429478555098634,Hamburg Digital - Analytics Solution,001215400344428713,608136,2026-06-22,Needs Analysis,30,Pipeline,Other,New Customer,Opportunity to provide AI-powered insights to Hamburg Digital to address their scalability needs requirements.,Arrange reference customer calls,2025-05-12T07:21:05.735647,2025-06-10T07:21:05.735647,EUR,false,false
006381110474393389,Rennes Biotech - Analytics Solution,001721542235717608,117897,2026-01-09,Prospecting,10,Pipeline,Partner Referral,New Customer,Opportunity to provide digital transformation to Rennes Biotech to address their data challenges requirements.,Arrange product demonstration for key stakeholders,2025-07-07T07:21:05.735847,2025-07-20T07:21:05.735847,EUR,false,false
006185025113881301,LondonCorp Dynamics - Data Integration,001738588377270244,9516651,2024-10-20,Closed Won,100,Closed,Email Campaign,New Customer,Opportunity to provide advanced analytics to LondonCorp Dynamics to address their competitive advantage requirements. Successfully completed implementation and achieved measurable ROI.,Introduce customer success team,2024-06-06T07:21:05.736003,2024-06-30T07:21:05.736003,EUR,true,true
006102785638287856,LondonCorp Dynamics - Process Automation,001738588377270244,12883973,2026-04-27,Qualification,20,Pipeline,Cold Call,New Customer,Opportunity to provide advanced analytics to LondonCorp Dynamics to address their competitive advantage requirements.,Conduct needs assessment workshop,2025-03-28T07:21:05.736074,2025-04-19T07:21:05.736074,EUR,false,false
006583737734694493,LondonCorp Dynamics - Cloud Migration,001738588377270244,2625025,2026-03-12,Proposal/Price Quote,60,Best Case,Purchased List,New Customer,Opportunity to provide automation platform to LondonCorp Dynamics to address their scalability needs requirements.,Negotiate contract terms and conditions,2025-03-08T07:21:05.736142,2025-04-04T07:21:05.736142,EUR,false,false
006987552781261533,LondonCorp Dynamics - Analytics Solution,001738588377270244,11833182,2026-06-12,Needs Analysis,30,Pipeline,Advertisement,New Customer,Opportunity to provide advanced analytics to LondonCorp Dynamics to address their operational efficiency requirements.,Present detailed solution proposal,2025-03-04T07:21:05.736204,2025-03-25T07:21:05.736204,EUR,false,false
006327789722894669,Monaco Wealth Tech - Platform Upgrade,001400419007481616,51414,2025-02-03,Closed Won,100,Closed,Cold Call,New Customer,Opportunity to provide cloud solutions to Monaco Wealth Tech to address their scalability needs requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-09-10T07:21:05.736343,2024-10-08T07:21:05.736343,DKK,true,true
006518656586138380,Monaco Wealth Tech - Security Enhancement,001400419007481616,81832,2025-07-07,Closed Lost,0,Omitted,Email Campaign,New Customer,Opportunity to provide cloud solutions to Monaco Wealth Tech to address their operational efficiency requirements. Lost to Oracle due to pricing/feature considerations.,Update competitive intelligence,2025-03-07T07:21:05.736407,2025-03-17T07:21:05.736407,DKK,true,false
006207166751362585,Monaco Wealth Tech - Digital Transformation,001400419007481616,71379,2026-07-22,Negotiation/Review,80,Commit,Web,New Customer,Opportunity to provide cloud solutions to Monaco Wealth Tech to address their competitive advantage requirements.,Finalize contract terms and pricing,2025-04-04T07:21:05.736466,2025-04-09T07:21:05.736466,DKK,false,false
006883170141184881,Monaco Wealth Tech - Platform Upgrade,001400419007481616,69294,2026-04-05,Proposal/Price Quote,60,Best Case,Advertisement,New Customer,Opportunity to provide advanced analytics to Monaco Wealth Tech to address their competitive advantage requirements.,Schedule final decision-maker presentation,2025-03-12T07:21:05.736521,2025-03-17T07:21:05.736521,DKK,false,false
006513838624673131,Edinburgh Innovations - Digital Transformation,001635121398951436,451677,2025-05-04,Closed Won,100,Closed,Other,New Customer,Opportunity to provide cloud solutions to Edinburgh Innovations to address their competitive advantage requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2025-03-09T07:21:05.736661,2025-03-30T07:21:05.736661,CHF,true,true
006831856458604976,Edinburgh Innovations - Platform Upgrade,001635121398951436,199792,2025-08-31,Closed Lost,0,Omitted,Partner Referral,New Customer,Opportunity to provide automation platform to Edinburgh Innovations to address their scalability needs requirements. Lost to Salesforce due to pricing/feature considerations.,Conduct post-mortem analysis,2025-03-19T07:21:05.736727,2025-04-09T07:21:05.736727,CHF,true,false
006257638616159484,Edinburgh Innovations - Cloud Migration,001635121398951436,481709,2026-04-04,Negotiation/Review,80,Commit,Phone Inquiry,New Customer,Opportunity to provide AI-powered insights to Edinburgh Innovations to address their competitive advantage requirements.,Complete security and compliance review,2025-02-15T07:21:05.736788,2025-03-01T07:21:05.736788,CHF,false,false
006194857121356444,Edinburgh Innovations - Security Enhancement,001635121398951436,879504,2025-12-25,Needs Analysis,30,Pipeline,Purchased List,New Customer,Opportunity to provide AI-powered insights to Edinburgh Innovations to address their regulatory compliance requirements.,Arrange reference customer calls,2025-06-17T07:21:05.736847,2025-07-11T07:21:05.736847,CHF,false,false
006783340110443760,Royal Data Systems - Cloud Migration,001646528871719079,774016,2025-07-26,Closed Won,100,Closed,Trade Show,New Customer,Opportunity to provide cloud solutions to Royal Data Systems to address their competitive advantage requirements. Successfully completed implementation and achieved measurable ROI.,Schedule implementation planning session,2025-04-10T07:21:05.736981,2025-05-01T07:21:05.736981,EUR,true,true
006371433827402946,Royal Data Systems - Data Integration,001646528871719079,991529,2026-05-01,Prospecting,10,Pipeline,External Referral,New Customer,Opportunity to provide AI-powered insights to Royal Data Systems to address their operational efficiency requirements.,Arrange product demonstration for key stakeholders,2025-05-22T07:21:05.737047,2025-06-20T07:21:05.737047,EUR,false,false
006573849003073681,Royal Data Systems - Data Integration,001646528871719079,428638,2025-01-14,Closed Lost,0,Omitted,Advertisement,New Customer,Opportunity to provide AI-powered insights to Royal Data Systems to address their data challenges requirements. Lost to Oracle due to pricing/feature considerations.,Conduct post-mortem analysis,2024-11-12T07:21:05.737109,2024-11-13T07:21:05.737109,EUR,true,false
006168083489056789,Royal Data Systems - Platform Upgrade,001646528871719079,64463,2025-12-09,Value Proposition,40,Pipeline,Employee Referral,New Customer,Opportunity to provide AI-powered insights to Royal Data Systems to address their scalability needs requirements.,Provide detailed implementation timeline,2025-05-16T07:21:05.737170,2025-06-08T07:21:05.737170,EUR,false,false
006821181197598008,Royal Data Systems - Data Integration,001646528871719079,854373,2026-03-25,Proposal/Price Quote,60,Best Case,Trade Show,New Customer,Opportunity to provide AI-powered insights to Royal Data Systems to address their regulatory compliance requirements.,Follow up on proposal questions and concerns,2025-04-07T07:21:05.737227,2025-04-16T07:21:05.737227,EUR,false,false
006760267000593102,Bavarian Analytics GmbH - Process Automation,001948440408302313,144035,2025-11-08,Qualification,20,Pipeline,Email Campaign,New Customer,Opportunity to provide advanced analytics to Bavarian Analytics GmbH to address their scalability needs requirements.,Conduct needs assessment workshop,2025-05-31T07:21:05.737369,2025-06-14T07:21:05.737369,EUR,false,false
006785483705203596,Lyon Technologies - AI Implementation,001554610413572758,32600,2024-11-11,Closed Won,100,Closed,Web,New Customer,Opportunity to provide cloud solutions to Lyon Technologies to address their operational efficiency requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-09-13T07:21:05.737503,2024-10-06T07:21:05.737503,EUR,true,true
006490356490837668,Lyon Technologies - AI Implementation,001554610413572758,193893,2025-11-12,Qualification,20,Pipeline,Trade Show,Existing Customer - Replacement,Opportunity to provide cloud solutions to Lyon Technologies to address their scalability needs requirements.,Validate budget and decision-making process,2025-07-20T07:21:05.737560,2025-08-13T07:21:05.737560,EUR,false,false
006583376265862845,Manchester Tech Hub - Process Automation,001695534384135654,4461326,2024-05-01,Closed Lost,0,Omitted,Other,Existing Customer - Upgrade,Opportunity to provide digital transformation to Manchester Tech Hub to address their regulatory compliance requirements. Lost to Salesforce due to pricing/feature considerations.,Conduct post-mortem analysis,2024-03-25T07:21:05.737688,2024-04-10T07:21:05.737688,EUR,true,false
006277113145592151,Manchester Tech Hub - Analytics Solution,001695534384135654,12583752,2026-05-03,Needs Analysis,30,Pipeline,Other,Existing Customer - Upgrade,Opportunity to provide AI-powered insights to Manchester Tech Hub to address their operational efficiency requirements.,Present detailed solution proposal,2025-07-08T07:21:05.737758,2025-08-01T07:21:05.737758,EUR,false,false
006631158802985479,Manchester Tech Hub - Cloud Migration,001695534384135654,586184,2025-08-27,Proposal/Price Quote,60,Best Case,Advertisement,Existing Customer - Replacement,Opportunity to provide cloud solutions to Manchester Tech Hub to address their data challenges requirements.,Follow up on proposal questions and concerns,2025-07-11T07:21:05.737818,2025-07-29T07:21:05.737818,EUR,false,false
006187693894912529,Viking Technologies - Security Enhancement,001878019938714288,75080,2025-01-11,Closed Won,100,Closed,Word of mouth,New Customer,Opportunity to provide digital transformation to Viking Technologies to address their operational efficiency requirements. Successfully completed implementation and achieved measurable ROI.,Introduce customer success team,2024-09-22T07:21:05.737944,2024-10-14T07:21:05.737944,EUR,true,true
006551405160549448,Viking Technologies - Platform Upgrade,001878019938714288,57014,2025-06-10,Closed Won,100,Closed,Phone Inquiry,New Customer,Opportunity to provide automation platform to Viking Technologies to address their scalability needs requirements. Successfully completed implementation and achieved measurable ROI.,Schedule implementation planning session,2024-12-30T07:21:05.738005,2025-01-10T07:21:05.738005,EUR,true,true
006734788828805587,Viking Technologies - Cloud Migration,001878019938714288,129733,2026-02-25,Prospecting,10,Pipeline,Other,New Customer,Opportunity to provide AI-powered insights to Viking Technologies to address their data challenges requirements.,Send company overview and case study materials,2025-07-20T07:21:05.738061,2025-08-01T07:21:05.738061,EUR,false,false
006107177537029302,Viking Technologies - Cloud Migration,001878019938714288,139331,2026-05-27,Proposal/Price Quote,60,Best Case,Employee Referral,New Customer,Opportunity to provide advanced analytics to Viking Technologies to address their data challenges requirements.,Schedule final decision-maker presentation,2025-06-02T07:21:05.738116,2025-06-14T07:21:05.738116,EUR,false,false
006331026737309482,BritishTech Ventures - Security Enhancement,001493678679338708,51533,2024-08-04,Closed Lost,0,Omitted,Trade Show,New Customer,Opportunity to provide cloud solutions to BritishTech Ventures to address their competitive advantage requirements. Lost to Oracle due to pricing/feature considerations.,Conduct post-mortem analysis,2024-03-31T07:21:05.738254,2024-04-05T07:21:05.738254,EUR,true,false
006616179359408725,DataVault Systems - Data Integration,001178784437518755,292716,2024-07-28,Closed Won,100,Closed,Cold Call,New Customer,Opportunity to provide advanced analytics to DataVault Systems to address their regulatory compliance requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-02-16T07:21:05.738386,2024-03-04T07:21:05.738386,EUR,true,true
006845844414024102,DataVault Systems - Platform Upgrade,001178784437518755,909793,2025-09-28,Prospecting,10,Pipeline,Partner Referral,New Customer,Opportunity to provide cloud solutions to DataVault Systems to address their scalability needs requirements.,Send company overview and case study materials,2025-04-13T07:21:05.738449,2025-05-11T07:21:05.738449,EUR,false,false
006406194458079298,DataVault Systems - Process Automation,001178784437518755,889717,2026-02-04,Needs Analysis,30,Pipeline,Purchased List,New Customer,Opportunity to provide advanced analytics to DataVault Systems to address their data challenges requirements.,Present detailed solution proposal,2025-04-13T07:21:05.738507,2025-05-08T07:21:05.738507,EUR,false,false
006557690243693657,Rhein Analytics - AI Implementation,001847433897535913,37697,2025-06-23,Closed Won,100,Closed,Phone Inquiry,New Customer,Opportunity to provide AI-powered insights to Rhein Analytics to address their scalability needs requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2025-01-29T07:21:05.738632,2025-02-13T07:21:05.738632,EUR,true,true
006872431861951402,Rhein Analytics - Analytics Solution,001847433897535913,79470,2025-10-06,Qualification,20,Pipeline,Other,New Customer,Opportunity to provide AI-powered insights to Rhein Analytics to address their operational efficiency requirements.,Validate budget and decision-making process,2025-06-22T07:21:05.738692,2025-07-19T07:21:05.738692,EUR,false,false
006678104299898602,Rhein Analytics - Process Automation,001847433897535913,48882,2025-06-09,Closed Won,100,Closed,Web,New Customer,Opportunity to provide digital transformation to Rhein Analytics to address their scalability needs requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2025-03-08T07:21:05.738752,2025-03-09T07:21:05.738752,EUR,true,true
006620211140700784,Rhein Analytics - Cloud Migration,001847433897535913,128541,2024-12-30,Closed Lost,0,Omitted,Phone Inquiry,New Customer,Opportunity to provide cloud solutions to Rhein Analytics to address their operational efficiency requirements. Lost to Microsoft due to pricing/feature considerations.,Conduct post-mortem analysis,2024-07-13T07:21:05.738807,2024-08-09T07:21:05.738807,EUR,true,false
006809651803956230,Rhein Analytics - Process Automation,001847433897535913,44266,2026-03-14,Qualification,20,Pipeline,Email Campaign,New Customer,Opportunity to provide advanced analytics to Rhein Analytics to address their regulatory compliance requirements.,Conduct needs assessment workshop,2025-06-02T07:21:05.738861,2025-06-11T07:21:05.738861,EUR,false,false
006245005866791574,Netherlands FinTech - AI Implementation,001698004048748481,117603,2026-07-17,Prospecting,10,Pipeline,Phone Inquiry,New Customer,Opportunity to provide digital transformation to Netherlands FinTech to address their operational efficiency requirements.,Schedule discovery call to understand business requirements,2025-06-02T07:21:05.739000,2025-06-17T07:21:05.739000,GBP,false,false
006530914195433166,Frankfurt FinTech - AI Implementation,001332873394218332,19756358,2026-03-11,Qualification,20,Pipeline,Email Campaign,New Customer,Opportunity to provide automation platform to Frankfurt FinTech to address their data challenges requirements.,Identify key stakeholders and influencers,2025-04-03T07:21:05.739170,2025-04-10T07:21:05.739170,EUR,false,false
006432261450058115,Oslo Maritime - Cloud Migration,001392908395623467,15465660,2025-03-16,Closed Won,100,Closed,External Referral,New Customer,Opportunity to provide automation platform to Oslo Maritime to address their regulatory compliance requirements. Successfully completed implementation and achieved measurable ROI.,Schedule implementation planning session,2025-02-06T07:21:05.739307,2025-02-08T07:21:05.739307,EUR,true,true
006823561112119971,Oslo Maritime - Data Integration,001392908395623467,9887724,2025-10-30,Prospecting,10,Pipeline,Trade Show,New Customer,Opportunity to provide cloud solutions to Oslo Maritime to address their regulatory compliance requirements.,Schedule discovery call to understand business requirements,2025-04-15T07:21:05.739369,2025-04-28T07:21:05.739369,EUR,false,false
006404484784600217,Toulouse Aerospace - Process Automation,001450198596890828,137055,2025-04-21,Closed Won,100,Closed,Partner Referral,Existing Customer - Upgrade,Opportunity to provide digital transformation to Toulouse Aerospace to address their regulatory compliance requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-10-29T07:21:05.739498,2024-10-30T07:21:05.739498,EUR,true,true
006757515541939384,Toulouse Aerospace - Process Automation,001450198596890828,83644,2025-08-22,Closed Won,100,Closed,Purchased List,Existing Customer - Upgrade,Opportunity to provide advanced analytics to Toulouse Aerospace to address their data challenges requirements. Successfully completed implementation and achieved measurable ROI.,Introduce customer success team,2025-03-25T07:21:05.739560,2025-04-02T07:21:05.739560,EUR,true,true
006295583555954082,Toulouse Aerospace - Data Integration,001450198596890828,149903,2025-12-11,Needs Analysis,30,Pipeline,Partner Referral,Existing Customer - Upgrade,Opportunity to provide AI-powered insights to Toulouse Aerospace to address their scalability needs requirements.,Arrange reference customer calls,2025-07-08T07:21:05.739611,2025-07-31T07:21:05.739611,EUR,false,false
006710377096401437,Tilburg Manufacturing - Analytics Solution,001972168435331866,436613,2024-08-26,Closed Lost,0,Omitted,Other,New Customer,Opportunity to provide cloud solutions to Tilburg Manufacturing to address their competitive advantage requirements. Lost to Microsoft due to pricing/feature considerations.,Conduct post-mortem analysis,2024-04-28T07:21:05.739739,2024-04-30T07:21:05.739739,PLN,true,false
006473498948930341,Tilburg Manufacturing - AI Implementation,001972168435331866,2035502,2026-05-17,Qualification,20,Pipeline,Word of mouth,New Customer,Opportunity to provide cloud solutions to Tilburg Manufacturing to address their data challenges requirements.,Identify key stakeholders and influencers,2025-07-17T07:21:05.739808,2025-08-09T07:21:05.739808,PLN,false,false
006893416123024605,Tilburg Manufacturing - Analytics Solution,001972168435331866,2914459,2025-09-01,Qualification,20,Pipeline,Partner Referral,New Customer,Opportunity to provide advanced analytics to Tilburg Manufacturing to address their regulatory compliance requirements.,Identify key stakeholders and influencers,2025-07-07T07:21:05.739869,2025-07-10T07:21:05.739869,PLN,false,false
006463218090359592,Dublin Cloud - Process Automation,001349495913956837,3518496,2024-08-21,Closed Lost,0,Omitted,Partner Referral,New Customer,Opportunity to provide cloud solutions to Dublin Cloud to address their competitive advantage requirements. Lost to Salesforce due to pricing/feature considerations.,Maintain relationship for future opportunities,2024-06-27T07:21:05.739998,2024-07-18T07:21:05.739998,EUR,true,false
006849322428093161,Dublin Cloud - Process Automation,001349495913956837,4914207,2026-07-01,Qualification,20,Pipeline,Word of mouth,New Customer,Opportunity to provide cloud solutions to Dublin Cloud to address their competitive advantage requirements.,Identify key stakeholders and influencers,2025-01-26T07:21:05.740065,2025-02-19T07:21:05.740065,EUR,false,false
006890394021594864,Dublin Cloud - Platform Upgrade,001349495913956837,2670589,2025-11-19,Negotiation/Review,80,Commit,Word of mouth,New Customer,Opportunity to provide automation platform to Dublin Cloud to address their regulatory compliance requirements.,Finalize contract terms and pricing,2025-06-20T07:21:05.740126,2025-06-26T07:21:05.740126,EUR,false,false
006658654714201463,Amsterdam Analytics BV - Digital Transformation,001723023895177926,898095,2024-09-08,Closed Lost,0,Omitted,Partner Referral,New Customer,Opportunity to provide digital transformation to Amsterdam Analytics BV to address their operational efficiency requirements. Lost to Amazon due to pricing/feature considerations.,Maintain relationship for future opportunities,2024-06-14T07:21:05.740255,2024-06-25T07:21:05.740255,EUR,true,false
006112830985574115,Amsterdam Analytics BV - Process Automation,001723023895177926,978325,2026-07-14,Qualification,20,Pipeline,Other,New Customer,Opportunity to provide cloud solutions to Amsterdam Analytics BV to address their data challenges requirements.,Conduct needs assessment workshop,2025-06-30T07:21:05.740319,2025-07-03T07:21:05.740319,EUR,false,false
006593390320682500,Amsterdam Analytics BV - Platform Upgrade,001723023895177926,875250,2025-08-21,Needs Analysis,30,Pipeline,Cold Call,New Customer,Opportunity to provide automation platform to Amsterdam Analytics BV to address their data challenges requirements.,Conduct technical deep-dive session,2025-06-25T07:21:05.740381,2025-07-11T07:21:05.740381,EUR,false,false
006639859473969582,Amsterdam Analytics BV - Digital Transformation,001723023895177926,418292,2024-11-21,Closed Won,100,Closed,Word of mouth,New Customer,Opportunity to provide cloud solutions to Amsterdam Analytics BV to address their data challenges requirements. Successfully completed implementation and achieved measurable ROI.,Schedule implementation planning session,2024-07-18T07:21:05.740441,2024-07-21T07:21:05.740441,EUR,true,true
006217913824534816,Amsterdam Analytics BV - Security Enhancement,001723023895177926,359234,2026-01-31,Prospecting,10,Pipeline,Phone Inquiry,New Customer,Opportunity to provide digital transformation to Amsterdam Analytics BV to address their data challenges requirements.,Send company overview and case study materials,2025-07-17T07:21:05.740496,2025-07-23T07:21:05.740496,EUR,false,false
006134895340137139,Strasbourg Software - AI Implementation,001958765600834926,34406,2026-06-21,Value Proposition,40,Pipeline,Employee Referral,New Customer,Opportunity to provide cloud solutions to Strasbourg Software to address their regulatory compliance requirements.,Schedule executive stakeholder meeting,2025-04-27T07:21:05.740631,2025-05-03T07:21:05.740631,DKK,false,false
006416967128723858,Bordeaux Analytics - Security Enhancement,001594442169655869,1924282,2026-03-18,Prospecting,10,Pipeline,Other,Existing Customer - Upgrade,Opportunity to provide advanced analytics to Bordeaux Analytics to address their operational efficiency requirements.,Send company overview and case study materials,2025-06-04T07:21:05.740769,2025-06-23T07:21:05.740769,EUR,false,false
006198661530310037,Zurich Precision SA - Platform Upgrade,001217770881457844,5653623,2025-07-27,Closed Lost,0,Omitted,Other,New Customer,Opportunity to provide AI-powered insights to Zurich Precision SA to address their competitive advantage requirements. Lost to Amazon due to pricing/feature considerations.,Conduct post-mortem analysis,2025-03-27T07:21:05.740902,2025-03-28T07:21:05.740902,SEK,true,false
006983690845519744,Zurich Precision SA - Digital Transformation,001217770881457844,10291567,2026-04-20,Qualification,20,Pipeline,Employee Referral,New Customer,Opportunity to provide automation platform to Zurich Precision SA to address their competitive advantage requirements.,Conduct needs assessment workshop,2025-07-02T07:21:05.740969,2025-07-11T07:21:05.740969,SEK,false,false
006529470467991081,Zurich Precision SA - Process Automation,001217770881457844,18757839,2025-11-23,Prospecting,10,Pipeline,Advertisement,New Customer,Opportunity to provide cloud solutions to Zurich Precision SA to address their competitive advantage requirements.,Schedule discovery call to understand business requirements,2025-04-14T07:21:05.741033,2025-04-23T07:21:05.741033,SEK,false,false
006946938135101430,Zurich Precision SA - Platform Upgrade,001217770881457844,9338264,2026-01-05,Needs Analysis,30,Pipeline,Cold Call,New Customer,Opportunity to provide advanced analytics to Zurich Precision SA to address their operational efficiency requirements.,Arrange reference customer calls,2025-05-26T07:21:05.741098,2025-06-07T07:21:05.741098,SEK,false,false
006535844007492537,Zurich Precision SA - Platform Upgrade,001217770881457844,14391086,2025-12-15,Proposal/Price Quote,60,Best Case,Trade Show,New Customer,Opportunity to provide automation platform to Zurich Precision SA to address their regulatory compliance requirements.,Schedule final decision-maker presentation,2025-02-22T07:21:05.741159,2025-03-22T07:21:05.741159,SEK,false,false
006904236293819585,Deutsche Innovation AG - Digital Transformation,001278317205722058,71772,2024-12-07,Closed Lost,0,Omitted,Web,New Customer,Opportunity to provide AI-powered insights to Deutsche Innovation AG to address their regulatory compliance requirements. Lost to IBM due to pricing/feature considerations.,Update competitive intelligence,2024-08-23T07:21:05.741290,2024-09-14T07:21:05.741290,CHF,true,false
006242069755969322,Deutsche Innovation AG - Analytics Solution,001278317205722058,48652,2025-07-15,Closed Lost,0,Omitted,Web,New Customer,Opportunity to provide automation platform to Deutsche Innovation AG to address their operational efficiency requirements. Lost to Salesforce due to pricing/feature considerations.,Maintain relationship for future opportunities,2025-02-21T07:21:05.741351,2025-02-28T07:21:05.741351,CHF,true,false
006918646153329559,Deutsche Innovation AG - Process Automation,001278317205722058,174423,2025-05-14,Closed Lost,0,Omitted,Phone Inquiry,New Customer,Opportunity to provide advanced analytics to Deutsche Innovation AG to address their competitive advantage requirements. Lost to IBM due to pricing/feature considerations.,Maintain relationship for future opportunities,2025-02-07T07:21:05.741409,2025-02-25T07:21:05.741409,CHF,true,false
006888593733493240,Deutsche Innovation AG - Platform Upgrade,001278317205722058,82404,2026-04-12,Needs Analysis,30,Pipeline,Word of mouth,New Customer,Opportunity to provide AI-powered insights to Deutsche Innovation AG to address their regulatory compliance requirements.,Conduct technical deep-dive session,2025-03-11T07:21:05.741463,2025-03-15T07:21:05.741463,CHF,false,false
006218935911929766,Nantes Maritime Tech - Digital Transformation,001474294997240570,19511737,2024-12-22,Closed Won,100,Closed,Word of mouth,New Customer,Opportunity to provide advanced analytics to Nantes Maritime Tech to address their scalability needs requirements. Successfully completed implementation and achieved measurable ROI.,Introduce customer success team,2024-06-26T07:21:05.741593,2024-07-25T07:21:05.741593,GBP,true,true
006785629561118048,Nantes Maritime Tech - AI Implementation,001474294997240570,14287181,2026-03-05,Qualification,20,Pipeline,External Referral,New Customer,Opportunity to provide advanced analytics to Nantes Maritime Tech to address their data challenges requirements.,Identify key stakeholders and influencers,2025-05-16T07:21:05.741661,2025-05-29T07:21:05.741661,GBP,false,false
006367489233961592,Nantes Maritime Tech - Process Automation,001474294997240570,13979483,2026-03-11,Prospecting,10,Pipeline,Web,New Customer,Opportunity to provide automation platform to Nantes Maritime Tech to address their scalability needs requirements.,Send company overview and case study materials,2025-07-13T07:21:05.741724,2025-07-14T07:21:05.741724,GBP,false,false
006883835217610309,Nantes Maritime Tech - AI Implementation,001474294997240570,10668836,2026-01-11,Needs Analysis,30,Pipeline,Email Campaign,New Customer,Opportunity to provide advanced analytics to Nantes Maritime Tech to address their data challenges requirements.,Present detailed solution proposal,2025-05-04T07:21:05.741785,2025-05-14T07:21:05.741785,GBP,false,false
006597327955283379,Prague Software - Digital Transformation,001547525682484924,2891638,2025-04-22,Closed Lost,0,Omitted,Purchased List,New Customer,Opportunity to provide automation platform to Prague Software to address their regulatory compliance requirements. Lost to Google due to pricing/feature considerations.,Conduct post-mortem analysis,2024-12-07T07:21:05.741914,2024-12-24T07:21:05.741914,HUF,true,false
006978780956144204,Prague Software - Data Integration,001547525682484924,750435,2026-05-07,Negotiation/Review,80,Commit,Trade Show,Existing Customer - Upgrade,Opportunity to provide cloud solutions to Prague Software to address their data challenges requirements.,Finalize contract terms and pricing,2025-05-04T07:21:05.741982,2025-05-31T07:21:05.741982,HUF,false,false
006324178844394472,Prague Software - Process Automation,001547525682484924,477420,2025-09-15,Prospecting,10,Pipeline,Other,Existing Customer - Replacement,Opportunity to provide automation platform to Prague Software to address their regulatory compliance requirements.,Send company overview and case study materials,2025-03-28T07:21:05.742044,2025-04-18T07:21:05.742044,HUF,false,false
006602268911893921,Prague Software - AI Implementation,001547525682484924,456382,2026-02-27,Prospecting,10,Pipeline,Partner Referral,Existing Customer - Replacement,Opportunity to provide AI-powered insights to Prague Software to address their regulatory compliance requirements.,Send company overview and case study materials,2025-05-22T07:21:05.742102,2025-06-03T07:21:05.742102,HUF,false,false
